专家编码,平均分,标准差,原始分1,原始分2,原始分3,原始分4,原始分5,原始分6,原始分7,原始分8,原始分9,原始分10,原始分11,原始分12,原始分13,原始分14,原始分15,原始分16,原始分17,原始分18,原始分19,原始分20,原始分21,原始分22,原始分23,原始分24,原始分25,原始分26,原始分27,原始分28,原始分29,原始分30,原始分31,原始分32,原始分33,原始分34,原始分35,原始分36,原始分37,原始分38,原始分39,原始分40,原始分41,原始分42,原始分43,原始分44,原始分45,原始分46,原始分47,原始分48,原始分49,原始分50,原始分51,原始分52,原始分53,原始分54,原始分55,原始分56,原始分57,原始分58,原始分59,原始分60,原始分61,原始分62,原始分63,原始分64,原始分65,原始分66,原始分67,原始分68,原始分69,原始分70,原始分71,原始分72,原始分73,原始分74,原始分75,原始分76,原始分77,原始分78,原始分79,原始分80,原始分81,原始分82,原始分83,原始分84,原始分85,原始分86,原始分87,原始分88,原始分89,原始分90,原始分91,原始分92,原始分93,原始分94,原始分95,原始分96,原始分97,原始分98,原始分99,原始分100,原始分101,原始分102,原始分103,原始分104,原始分105,原始分106,原始分107,原始分108,原始分109
P005,51.44230769230769,19.812630532148816,90.0,85.0,70.0,65.0,65.0,60.0,70.0,60.0,90.0,75.0,75.0,85.0,80.0,80.0,85.0,80.0,80.0,75.0,50.0,50.0,50.0,40.0,50.0,55.0,55.0,50.0,20.0,50.0,45.0,30.0,30.0,25.0,55.0,30.0,55.0,45.0,40.0,2.0,60.0,75.0,60.0,60.0,30.0,50.0,20.0,50.0,10.0,30.0,60.0,55.0,35.0,20.0,15.0,40.0,40.0,50.0,25.0,60.0,45.0,63.0,45.0,60.0,55.0,15.0,30.0,25.0,70.0,50.0,60.0,10.0,20.0,30.0,35.0,45.0,55.0,40.0,20.0,40.0,50.0,35.0,45.0,45.0,30.0,40.0,65.0,65.0,75.0,60.0,55.0,75.0,65.0,55.0,50.0,70.0,80.0,75.0,35.0,60.0,60.0,65.0,75.0,50.0,70.0,45.0,,,,,
P022,51.97115384615385,15.25158386221571,75.0,64.0,73.0,72.0,78.0,86.0,68.0,64.0,55.0,65.0,67.0,62.0,78.0,58.0,52.0,65.0,70.0,53.0,60.0,54.0,56.0,56.0,54.0,52.0,54.0,55.0,42.0,52.0,43.0,45.0,60.0,46.0,48.0,45.0,43.0,57.0,50.0,35.0,52.0,55.0,67.0,32.0,56.0,58.0,58.0,48.0,5.0,62.0,60.0,50.0,38.0,68.0,45.0,45.0,28.0,45.0,50.0,50.0,35.0,56.0,45.0,53.0,58.0,25.0,54.0,15.0,50.0,45.0,58.0,50.0,61.0,52.0,20.0,15.0,40.0,60.0,30.0,41.0,50.0,52.0,56.0,56.0,60.0,0.0,47.0,0.0,60.0,43.0,68.0,50.0,78.0,62.0,48.0,50.0,61.0,56.0,67.0,65.0,55.0,62.0,52.0,58.0,46.0,56.0,,,,,
P056,56.50485436893204,16.070844253728655,86.0,72.0,78.0,71.0,68.0,72.0,84.0,81.0,81.0,75.0,48.0,77.0,77.0,71.0,70.0,59.0,15.0,57.0,49.0,53.0,60.0,46.0,45.0,63.0,49.0,67.0,44.0,27.0,53.0,26.0,25.0,68.0,55.0,39.0,43.0,49.0,70.0,20.0,78.0,43.0,59.0,55.0,55.0,59.0,26.0,64.0,79.0,25.0,69.0,63.0,65.0,44.0,52.0,53.0,44.0,46.0,48.0,52.0,39.0,54.0,57.0,66.0,59.0,61.0,58.0,23.0,65.0,54.0,79.0,53.0,6.0,56.0,65.0,65.0,56.0,49.0,38.0,51.0,55.0,55.0,78.0,63.0,37.0,59.0,59.0,47.0,37.0,64.0,52.0,66.0,60.0,73.0,72.0,87.0,54.0,73.0,65.0,41.0,68.0,63.0,62.0,45.0,59.0,,,,,,
P069,52.310679611650485,17.54826907625979,80.0,80.0,70.0,66.0,61.0,68.0,69.0,70.0,76.0,68.0,63.0,75.0,59.0,61.0,16.0,54.0,12.0,40.0,45.0,66.0,41.0,41.0,46.0,39.0,46.0,50.0,29.0,34.0,58.0,56.0,60.0,20.0,51.0,57.0,55.0,56.0,62.0,33.0,24.0,49.0,63.0,28.0,28.0,61.0,20.0,66.0,48.0,20.0,68.0,62.0,0.0,17.0,30.0,65.0,47.0,61.0,46.0,54.0,45.0,64.0,58.0,60.0,39.0,50.0,65.0,0.0,28.0,51.0,52.0,52.0,23.0,66.0,56.0,46.0,55.0,30.0,58.0,26.0,61.0,68.0,62.0,65.0,47.0,67.0,74.0,67.0,61.0,54.0,37.0,62.0,65.0,64.0,70.0,49.0,59.0,71.0,73.0,67.0,74.0,66.0,63.0,63.0,65.0,,,,,,
P070,44.98076923076923,20.383212571681263,80.0,72.0,61.0,70.0,54.0,62.0,46.0,60.0,51.0,66.0,70.0,69.0,71.0,66.0,80.0,19.0,48.0,33.0,70.0,61.0,8.0,54.0,51.0,53.0,62.0,50.0,27.0,30.0,18.0,40.0,22.0,2.0,6.0,8.0,2.0,43.0,46.0,50.0,35.0,39.0,54.0,72.0,5.0,56.0,46.0,19.0,55.0,42.0,32.0,37.0,36.0,50.0,16.0,12.0,52.0,47.0,6.0,7.0,7.0,62.0,9.0,56.0,56.0,48.0,12.0,26.0,5.0,26.0,47.0,17.0,35.0,42.0,33.0,55.0,28.0,42.0,58.0,60.0,38.0,41.0,54.0,54.0,32.0,70.0,61.0,56.0,72.0,54.0,60.0,65.0,60.0,60.0,51.0,40.0,56.0,69.0,70.0,64.0,65.0,44.0,66.0,44.0,53.0,56.0,,,,,
P082,56.90384615384615,17.194783150355576,80.0,80.0,83.0,85.0,69.0,65.0,85.0,80.0,83.0,73.0,75.0,67.0,77.0,63.0,78.0,80.0,85.0,87.0,68.0,59.0,64.0,78.0,65.0,55.0,60.0,45.0,53.0,30.0,45.0,40.0,65.0,50.0,10.0,63.0,56.0,55.0,47.0,55.0,60.0,67.0,73.0,58.0,56.0,56.0,60.0,54.0,50.0,50.0,57.0,58.0,40.0,10.0,65.0,62.0,53.0,50.0,64.0,20.0,53.0,64.0,20.0,63.0,67.0,35.0,57.0,30.0,57.0,48.0,55.0,54.0,57.0,60.0,0.0,50.0,58.0,53.0,50.0,50.0,10.0,63.0,50.0,30.0,45.0,40.0,58.0,60.0,55.0,53.0,56.0,64.0,59.0,62.0,53.0,67.0,75.0,76.0,66.0,56.0,75.0,63.0,55.0,60.0,15.0,50.0,,,,,
P090,57.57281553398058,12.858659965668952,85.0,74.0,88.0,68.0,72.0,72.0,68.0,80.0,76.0,64.0,72.0,78.0,68.0,68.0,60.0,64.0,40.0,45.0,40.0,53.0,30.0,68.0,58.0,45.0,58.0,58.0,64.0,45.0,40.0,55.0,48.0,35.0,53.0,58.0,45.0,53.0,30.0,64.0,62.0,30.0,53.0,40.0,35.0,35.0,40.0,57.0,48.0,64.0,53.0,62.0,40.0,53.0,58.0,55.0,53.0,30.0,58.0,60.0,60.0,30.0,62.0,30.0,65.0,40.0,58.0,65.0,53.0,62.0,68.0,64.0,53.0,58.0,35.0,64.0,58.0,53.0,74.0,53.0,58.0,62.0,68.0,60.0,58.0,70.0,64.0,66.0,64.0,64.0,68.0,70.0,68.0,66.0,64.0,74.0,68.0,45.0,65.0,61.0,66.0,58.0,68.0,64.0,58.0,,,,,,
P118,56.44230769230769,17.373021671588788,80.0,68.0,72.0,67.0,70.0,72.0,80.0,70.0,77.0,71.0,68.0,78.0,54.0,81.0,72.0,76.0,72.0,71.0,71.0,56.0,30.0,64.0,75.0,30.0,30.0,46.0,42.0,42.0,70.0,30.0,78.0,40.0,57.0,46.0,73.0,30.0,37.0,52.0,65.0,40.0,30.0,47.0,60.0,20.0,56.0,72.0,66.0,52.0,26.0,43.0,69.0,73.0,64.0,42.0,32.0,40.0,59.0,44.0,48.0,50.0,30.0,68.0,60.0,63.0,48.0,62.0,20.0,65.0,32.0,20.0,30.0,38.0,20.0,72.0,20.0,40.0,60.0,62.0,70.0,69.0,50.0,55.0,40.0,35.0,40.0,47.0,74.0,73.0,66.0,70.0,80.0,78.0,66.0,65.0,64.0,78.0,70.0,78.0,68.0,64.0,68.0,70.0,64.0,62.0,,,,,
P120,53.77669902912621,21.72056585712321,83.0,71.0,86.0,70.0,70.0,74.0,86.0,77.0,69.0,82.0,66.0,78.0,71.0,62.0,66.0,42.0,22.0,77.0,74.0,73.0,77.0,22.0,21.0,40.0,16.0,35.0,68.0,21.0,64.0,14.0,42.0,58.0,73.0,28.0,43.0,68.0,64.0,67.0,36.0,12.0,46.0,43.0,55.0,36.0,74.0,45.0,58.0,51.0,28.0,41.0,73.0,69.0,14.0,18.0,62.0,74.0,62.0,16.0,16.0,2.0,33.0,52.0,19.0,53.0,42.0,41.0,21.0,20.0,42.0,39.0,53.0,60.0,66.0,60.0,10.0,30.0,65.0,74.0,62.0,12.0,64.0,75.0,70.0,72.0,58.0,72.0,49.0,74.0,72.0,69.0,71.0,73.0,54.0,71.0,78.0,70.0,62.0,72.0,64.0,43.0,43.0,79.0,79.0,,,,,,
P125,49.36190476190476,14.555017512821301,78.0,80.0,65.0,54.0,64.0,52.0,80.0,55.0,50.0,73.0,65.0,75.0,69.0,65.0,57.0,35.0,20.0,25.0,50.0,30.0,35.0,50.0,25.0,52.0,45.0,50.0,30.0,55.0,70.0,40.0,30.0,55.0,45.0,48.0,35.0,55.0,36.0,25.0,35.0,50.0,55.0,50.0,30.0,45.0,50.0,55.0,45.0,55.0,30.0,30.0,25.0,50.0,35.0,35.0,40.0,40.0,40.0,53.0,45.0,35.0,57.0,50.0,30.0,50.0,58.0,35.0,55.0,40.0,30.0,30.0,30.0,60.0,60.0,60.0,50.0,20.0,45.0,45.0,48.0,35.0,20.0,50.0,50.0,62.0,65.0,66.0,60.0,60.0,70.0,70.0,60.0,70.0,68.0,55.0,56.0,65.0,35.0,68.0,48.0,60.0,50.0,63.0,50.0,55.0,68.0,,,,
P126,65.36538461538461,16.013985206085707,89.0,86.0,74.0,79.0,82.0,79.0,82.0,74.0,82.0,80.0,78.0,78.0,78.0,75.0,83.0,72.0,73.0,20.0,60.0,76.0,74.0,25.0,65.0,72.0,30.0,76.0,53.0,66.0,72.0,67.0,5.0,45.0,30.0,45.0,53.0,59.0,50.0,40.0,72.0,58.0,50.0,68.0,74.0,68.0,56.0,50.0,62.0,79.0,74.0,45.0,20.0,72.0,74.0,74.0,35.0,74.0,70.0,65.0,20.0,74.0,65.0,68.0,73.0,74.0,62.0,73.0,69.0,59.0,55.0,73.0,69.0,50.0,61.0,72.0,59.0,73.0,40.0,73.0,65.0,52.0,70.0,73.0,75.0,71.0,65.0,71.0,77.0,85.0,67.0,71.0,69.0,75.0,68.0,76.0,78.0,79.0,75.0,65.0,77.0,73.0,72.0,72.0,66.0,82.0,,,,,
P127,44.78846153846154,15.507388202798458,62.0,59.0,66.0,55.0,68.0,66.0,66.0,58.0,60.0,55.0,65.0,53.0,58.0,57.0,54.0,64.0,55.0,70.0,63.0,63.0,7.0,27.0,20.0,38.0,31.0,40.0,66.0,10.0,39.0,10.0,29.0,28.0,35.0,36.0,52.0,24.0,55.0,28.0,16.0,38.0,53.0,39.0,53.0,25.0,60.0,35.0,58.0,17.0,42.0,34.0,32.0,40.0,10.0,60.0,42.0,20.0,40.0,35.0,46.0,44.0,21.0,46.0,41.0,57.0,43.0,63.0,46.0,15.0,17.0,44.0,58.0,42.0,49.0,32.0,52.0,41.0,54.0,43.0,29.0,33.0,42.0,56.0,27.0,41.0,30.0,69.0,54.0,58.0,57.0,42.0,58.0,58.0,47.0,41.0,44.0,44.0,61.0,55.0,51.0,65.0,53.0,46.0,42.0,60.0,,,,,
P132,74.74038461538461,9.6280286545567,82.0,85.0,90.0,95.0,72.0,93.0,79.0,88.0,83.0,75.0,78.0,72.0,85.0,94.0,86.0,80.0,80.0,90.0,85.0,91.0,78.0,88.0,68.0,75.0,70.0,67.0,68.0,65.0,73.0,72.0,62.0,89.0,68.0,75.0,60.0,63.0,62.0,63.0,73.0,78.0,60.0,75.0,77.0,79.0,78.0,60.0,75.0,60.0,63.0,88.0,78.0,70.0,73.0,78.0,85.0,62.0,61.0,65.0,74.0,60.0,61.0,60.0,75.0,65.0,75.0,68.0,68.0,63.0,66.0,72.0,60.0,65.0,80.0,61.0,65.0,66.0,76.0,75.0,60.0,76.0,73.0,80.0,68.0,70.0,78.0,85.0,76.0,95.0,82.0,80.0,86.0,79.0,70.0,90.0,80.0,82.0,86.0,78.0,78.0,76.0,73.0,84.0,86.0,60.0,,,,,
P138,53.27884615384615,10.344978361335027,71.0,65.0,63.0,67.0,59.0,67.0,64.0,62.0,64.0,54.0,63.0,63.0,61.0,70.0,70.0,56.0,53.0,48.0,55.0,45.0,35.0,44.0,44.0,55.0,53.0,53.0,50.0,53.0,50.0,52.0,52.0,25.0,38.0,50.0,58.0,50.0,50.0,50.0,46.0,55.0,50.0,52.0,58.0,60.0,56.0,52.0,53.0,64.0,40.0,58.0,55.0,38.0,53.0,55.0,44.0,50.0,58.0,59.0,50.0,29.0,29.0,43.0,56.0,52.0,50.0,50.0,55.0,55.0,48.0,55.0,4.0,21.0,50.0,56.0,56.0,53.0,66.0,54.0,56.0,38.0,52.0,52.0,52.0,48.0,53.0,53.0,53.0,53.0,60.0,59.0,58.0,65.0,66.0,51.0,65.0,54.0,66.0,65.0,62.0,61.0,60.0,59.0,53.0,57.0,,,,,
P143,42.90384615384615,10.617369201115716,50.0,52.0,50.0,50.0,60.0,50.0,54.0,50.0,45.0,48.0,52.0,50.0,58.0,50.0,51.0,55.0,46.0,52.0,40.0,43.0,45.0,20.0,42.0,42.0,42.0,44.0,45.0,20.0,43.0,45.0,30.0,20.0,44.0,45.0,51.0,30.0,44.0,40.0,52.0,45.0,48.0,44.0,44.0,48.0,30.0,47.0,40.0,35.0,20.0,45.0,40.0,38.0,52.0,52.0,25.0,30.0,25.0,20.0,10.0,41.0,48.0,30.0,40.0,43.0,51.0,45.0,45.0,55.0,4.0,45.0,5.0,36.0,45.0,45.0,47.0,50.0,43.0,45.0,35.0,43.0,47.0,40.0,40.0,35.0,50.0,52.0,47.0,48.0,48.0,40.0,47.0,46.0,56.0,43.0,50.0,53.0,46.0,45.0,52.0,48.0,49.0,48.0,53.0,50.0,,,,,
P150,59.47115384615385,15.273529821846031,74.0,78.0,88.0,71.0,75.0,66.0,69.0,77.0,66.0,65.0,75.0,78.0,66.0,76.0,76.0,54.0,53.0,50.0,46.0,55.0,77.0,62.0,63.0,57.0,52.0,75.0,58.0,51.0,41.0,44.0,47.0,59.0,55.0,70.0,54.0,15.0,64.0,72.0,55.0,64.0,42.0,55.0,13.0,26.0,83.0,55.0,52.0,60.0,63.0,54.0,63.0,55.0,20.0,62.0,70.0,57.0,59.0,51.0,13.0,57.0,38.0,37.0,65.0,80.0,62.0,14.0,58.0,52.0,62.0,61.0,16.0,50.0,56.0,56.0,53.0,58.0,52.0,65.0,63.0,58.0,65.0,73.0,65.0,62.0,73.0,66.0,55.0,72.0,64.0,62.0,74.0,75.0,59.0,68.0,69.0,75.0,75.0,63.0,78.0,68.0,68.0,74.0,60.0,63.0,,,,,
P163,41.07692307692308,20.515063046450788,73.0,68.0,60.0,74.0,61.0,69.0,73.0,56.0,53.0,67.0,75.0,58.0,60.0,55.0,66.0,50.0,80.0,85.0,74.0,79.0,65.0,67.0,20.0,51.0,37.0,20.0,25.0,10.0,38.0,5.0,40.0,35.0,40.0,29.0,36.0,23.0,10.0,60.0,38.0,55.0,0.0,20.0,18.0,0.0,40.0,65.0,20.0,27.0,52.0,35.0,10.0,20.0,41.0,40.0,22.0,37.0,20.0,37.0,20.0,0.0,45.0,36.0,10.0,22.0,25.0,50.0,10.0,41.0,37.0,22.0,5.0,20.0,20.0,47.0,40.0,50.0,50.0,50.0,18.0,35.0,20.0,26.0,47.0,42.0,51.0,65.0,52.0,28.0,52.0,46.0,45.0,53.0,45.0,63.0,35.0,48.0,46.0,55.0,41.0,54.0,61.0,55.0,0.0,45.0,,,,,
P170,64.00970873786407,8.84451214100438,74.0,69.0,70.0,71.0,67.0,70.0,70.0,69.0,71.0,73.0,70.0,79.0,67.0,68.0,71.0,73.0,70.0,65.0,69.0,70.0,67.0,56.0,59.0,62.0,68.0,67.0,51.0,63.0,63.0,59.0,60.0,66.0,62.0,45.0,62.0,60.0,64.0,20.0,71.0,72.0,49.0,69.0,68.0,71.0,40.0,63.0,63.0,68.0,63.0,68.0,69.0,68.0,66.0,58.0,65.0,55.0,62.0,45.0,66.0,50.0,59.0,60.0,70.0,70.0,40.0,65.0,49.0,62.0,61.0,67.0,35.0,64.0,69.0,63.0,66.0,61.0,63.0,67.0,61.0,69.0,68.0,69.0,67.0,69.0,65.0,65.0,69.0,67.0,72.0,63.0,60.0,68.0,67.0,65.0,72.0,71.0,70.0,72.0,71.0,69.0,65.0,69.0,50.0,,,,,,
P200,60.359223300970875,17.80991922834677,87.0,77.0,81.0,80.0,81.0,78.0,58.0,78.0,70.0,73.0,67.0,67.0,83.0,68.0,82.0,80.0,20.0,67.0,50.0,53.0,75.0,58.0,43.0,72.0,50.0,66.0,42.0,34.0,70.0,21.0,30.0,76.0,53.0,60.0,48.0,61.0,55.0,50.0,71.0,62.0,37.0,55.0,30.0,64.0,72.0,84.0,78.0,42.0,43.0,61.0,80.0,70.0,43.0,78.0,48.0,64.0,64.0,71.0,48.0,44.0,72.0,60.0,51.0,75.0,13.0,47.0,31.0,5.0,61.0,20.0,42.0,54.0,58.0,55.0,60.0,64.0,20.0,84.0,48.0,53.0,43.0,68.0,42.0,71.0,46.0,64.0,78.0,72.0,70.0,66.0,57.0,76.0,77.0,78.0,78.0,78.0,72.0,57.0,72.0,72.0,67.0,86.0,81.0,,,,,,
P212,54.737864077669904,16.442985968186296,75.0,74.0,74.0,76.0,77.0,80.0,86.0,75.0,68.0,68.0,71.0,73.0,74.0,83.0,81.0,74.0,85.0,79.0,66.0,74.0,64.0,63.0,30.0,30.0,55.0,76.0,52.0,41.0,30.0,51.0,30.0,58.0,60.0,60.0,30.0,37.0,62.0,62.0,58.0,66.0,48.0,43.0,45.0,45.0,38.0,30.0,56.0,58.0,30.0,30.0,42.0,56.0,62.0,53.0,53.0,62.0,50.0,30.0,56.0,30.0,49.0,57.0,30.0,70.0,66.0,30.0,30.0,44.0,30.0,57.0,51.0,32.0,55.0,47.0,45.0,30.0,77.0,76.0,36.0,30.0,35.0,38.0,30.0,31.0,45.0,56.0,54.0,46.0,48.0,43.0,57.0,60.0,57.0,74.0,61.0,57.0,68.0,63.0,62.0,62.0,71.0,63.0,70.0,,,,,,
P223,54.352380952380955,14.77001962942094,73.0,83.0,72.0,65.0,75.0,63.0,67.0,70.0,70.0,65.0,68.0,62.0,80.0,72.0,72.0,75.0,62.0,66.0,67.0,70.0,68.0,54.0,48.0,50.0,58.0,52.0,68.0,55.0,58.0,50.0,25.0,48.0,54.0,40.0,52.0,45.0,20.0,53.0,40.0,20.0,56.0,56.0,62.0,45.0,56.0,52.0,56.0,52.0,38.0,60.0,42.0,42.0,35.0,53.0,40.0,62.0,65.0,42.0,48.0,52.0,52.0,67.0,20.0,67.0,65.0,50.0,58.0,54.0,20.0,65.0,54.0,54.0,50.0,30.0,48.0,35.0,61.0,30.0,70.0,57.0,40.0,63.0,45.0,35.0,63.0,43.0,62.0,55.0,10.0,35.0,68.0,52.0,25.0,30.0,65.0,62.0,55.0,78.0,60.0,70.0,58.0,60.0,63.0,67.0,67.0,,,,
P225,59.95412844036697,22.720681279357912,86.0,85.0,82.0,84.0,85.0,85.0,73.0,89.0,89.0,82.0,80.0,79.0,78.0,87.0,85.0,80.0,58.0,5.0,65.0,33.0,20.0,58.0,10.0,84.0,55.0,35.0,60.0,18.0,73.0,75.0,52.0,18.0,73.0,58.0,65.0,85.0,43.0,55.0,78.0,65.0,36.0,71.0,54.0,68.0,65.0,68.0,68.0,29.0,10.0,25.0,28.0,64.0,61.0,42.0,35.0,48.0,61.0,56.0,76.0,75.0,74.0,28.0,70.0,82.0,30.0,25.0,71.0,75.0,45.0,59.0,71.0,55.0,58.0,18.0,81.0,46.0,33.0,61.0,0.0,63.0,55.0,68.0,8.0,66.0,65.0,18.0,35.0,10.0,60.0,75.0,74.0,75.0,69.0,86.0,80.0,68.0,71.0,79.0,65.0,69.0,79.0,81.0,76.0,69.0,75.0,73.0,83.0,68.0,80.0
P229,51.523809523809526,16.21555238634007,73.0,72.0,70.0,71.0,70.0,62.0,62.0,65.0,69.0,72.0,63.0,61.0,64.0,64.0,39.0,6.0,16.0,54.0,56.0,31.0,36.0,17.0,56.0,55.0,43.0,48.0,57.0,41.0,45.0,51.0,54.0,40.0,53.0,49.0,31.0,71.0,44.0,55.0,50.0,35.0,60.0,57.0,50.0,66.0,0.0,60.0,49.0,14.0,61.0,39.0,57.0,45.0,55.0,46.0,28.0,54.0,58.0,51.0,63.0,50.0,61.0,57.0,15.0,50.0,27.0,57.0,25.0,59.0,61.0,54.0,5.0,47.0,59.0,54.0,50.0,10.0,39.0,13.0,58.0,59.0,70.0,64.0,63.0,62.0,70.0,57.0,55.0,64.0,60.0,53.0,63.0,57.0,59.0,59.0,62.0,62.0,64.0,58.0,65.0,58.0,51.0,57.0,63.0,61.0,59.0,,,,
