专家编码,平均分,标准差,原始分1,原始分2,原始分3,原始分4,原始分5,原始分6,原始分7,原始分8,原始分9,原始分10,原始分11,原始分12,原始分13,原始分14,原始分15,原始分16,原始分17,原始分18,原始分19,原始分20,原始分21,原始分22,原始分23,原始分24,原始分25,原始分26,原始分27,原始分28,原始分29,原始分30,原始分31,原始分32,原始分33,原始分34,原始分35,原始分36,原始分37,原始分38,原始分39,原始分40,原始分41,原始分42,原始分43,原始分44,原始分45,原始分46,原始分47,原始分48,原始分49,原始分50,原始分51,原始分52,原始分53,原始分54,原始分55,原始分56,原始分57,原始分58,原始分59,原始分60,原始分61,原始分62,原始分63,原始分64,原始分65,原始分66,原始分67,原始分68,原始分69,原始分70,原始分71,原始分72,原始分73,原始分74,原始分75,原始分76,原始分77,原始分78,原始分79,原始分80,原始分81,原始分82,原始分83,原始分84,原始分85,原始分86,原始分87,原始分88,原始分89,原始分90,原始分91,原始分92,原始分93,原始分94,原始分95,原始分96,原始分97,原始分98,原始分99,原始分100,原始分101,原始分102,原始分103,原始分104,原始分105,原始分106,原始分107,原始分108,原始分109
P513,69.19417475728156,15.058746564266482,88.0,76.0,90.0,84.0,89.0,90.0,91.0,76.0,81.0,77.0,75.0,83.0,76.0,89.0,67.0,74.0,88.0,84.0,77.0,65.0,71.0,73.0,59.0,64.0,60.0,50.0,60.0,62.0,64.0,85.0,75.0,52.0,75.0,61.0,86.0,44.0,39.0,56.0,40.0,76.0,66.0,75.0,65.0,75.0,55.0,54.0,61.0,38.0,42.0,76.0,40.0,57.0,74.0,58.0,72.0,0.0,76.0,79.0,60.0,67.0,60.0,64.0,83.0,83.0,64.0,58.0,73.0,64.0,61.0,55.0,62.0,40.0,58.0,70.0,61.0,41.0,68.0,55.0,68.0,73.0,78.0,84.0,84.0,81.0,85.0,69.0,87.0,73.0,65.0,64.0,77.0,82.0,68.0,82.0,83.0,84.0,89.0,90.0,83.0,80.0,70.0,72.0,74.0,,,,,,
P526,60.22330097087379,10.077087229749448,75.0,64.0,72.0,72.0,70.0,70.0,72.0,76.0,70.0,57.0,68.0,71.0,66.0,64.0,65.0,67.0,65.0,56.0,66.0,61.0,63.0,61.0,65.0,54.0,60.0,52.0,71.0,40.0,56.0,40.0,60.0,50.0,60.0,57.0,60.0,65.0,65.0,57.0,56.0,71.0,61.0,60.0,67.0,64.0,45.0,63.0,50.0,45.0,56.0,53.0,40.0,40.0,59.0,63.0,62.0,62.0,40.0,30.0,55.0,64.0,70.0,55.0,40.0,56.0,67.0,45.0,40.0,69.0,78.0,62.0,74.0,40.0,68.0,57.0,62.0,66.0,57.0,57.0,60.0,66.0,54.0,68.0,60.0,55.0,71.0,70.0,58.0,62.0,74.0,69.0,60.0,52.0,58.0,59.0,70.0,70.0,53.0,63.0,69.0,72.0,66.0,62.0,30.0,,,,,,
P549,47.470588235294116,22.97467649492791,89.0,62.0,63.0,63.0,79.0,65.0,69.0,69.0,63.0,73.0,72.0,73.0,60.0,82.0,9.0,59.0,3.0,18.0,10.0,61.0,15.0,25.0,38.0,18.0,42.0,40.0,20.0,62.0,43.0,35.0,27.0,20.0,76.0,59.0,62.0,60.0,0.0,56.0,54.0,5.0,41.0,56.0,48.0,41.0,25.0,50.0,49.0,54.0,18.0,39.0,15.0,42.0,60.0,50.0,37.0,69.0,55.0,33.0,2.0,47.0,12.0,8.0,71.0,9.0,2.0,64.0,2.0,57.0,1.0,19.0,57.0,58.0,59.0,15.0,36.0,4.0,59.0,61.0,55.0,65.0,68.0,59.0,62.0,60.0,59.0,63.0,60.0,55.0,65.0,57.0,69.0,54.0,55.0,69.0,70.0,59.0,72.0,67.0,78.0,69.0,64.0,64.0,,,,,,,
P555,40.53846153846154,15.186173499974306,56.0,62.0,57.0,60.0,55.0,70.0,61.0,62.0,57.0,60.0,58.0,61.0,58.0,53.0,55.0,63.0,56.0,49.0,51.0,49.0,49.0,57.0,58.0,37.0,15.0,20.0,16.0,38.0,49.0,43.0,15.0,30.0,43.0,27.0,25.0,20.0,29.0,42.0,42.0,25.0,33.0,35.0,50.0,30.0,43.0,25.0,15.0,10.0,51.0,35.0,42.0,25.0,37.0,47.0,30.0,28.0,13.0,50.0,15.0,58.0,15.0,42.0,20.0,54.0,23.0,33.0,48.0,35.0,46.0,36.0,28.0,10.0,18.0,14.0,53.0,10.0,40.0,15.0,38.0,52.0,42.0,52.0,39.0,35.0,30.0,20.0,43.0,34.0,35.0,48.0,55.0,45.0,49.0,46.0,50.0,52.0,56.0,47.0,45.0,50.0,58.0,46.0,57.0,47.0,,,,,
P571,53.77142857142857,14.265515940720304,65.0,65.0,64.0,74.0,64.0,65.0,64.0,75.0,66.0,62.0,55.0,82.0,73.0,68.0,78.0,55.0,60.0,61.0,65.0,81.0,31.0,65.0,48.0,59.0,63.0,58.0,44.0,42.0,46.0,65.0,43.0,20.0,48.0,52.0,62.0,41.0,26.0,47.0,48.0,44.0,28.0,41.0,66.0,57.0,56.0,63.0,67.0,45.0,26.0,26.0,42.0,40.0,41.0,60.0,43.0,57.0,44.0,55.0,41.0,60.0,23.0,60.0,47.0,64.0,65.0,50.0,47.0,38.0,52.0,57.0,18.0,58.0,40.0,52.0,56.0,55.0,53.0,20.0,66.0,52.0,42.0,63.0,10.0,45.0,64.0,35.0,62.0,64.0,63.0,70.0,52.0,58.0,73.0,65.0,62.0,62.0,61.0,57.0,57.0,64.0,65.0,64.0,64.0,59.0,40.0,,,,
P573,36.91428571428571,16.353730629263325,51.0,70.0,43.0,54.0,60.0,64.0,51.0,41.0,66.0,50.0,55.0,43.0,42.0,63.0,45.0,57.0,45.0,70.0,50.0,52.0,62.0,63.0,48.0,18.0,38.0,44.0,38.0,30.0,40.0,42.0,40.0,41.0,15.0,40.0,6.0,7.0,20.0,15.0,16.0,35.0,18.0,36.0,31.0,39.0,15.0,49.0,19.0,30.0,30.0,8.0,41.0,35.0,39.0,10.0,18.0,41.0,15.0,5.0,40.0,20.0,39.0,33.0,39.0,49.0,33.0,46.0,25.0,45.0,41.0,10.0,10.0,5.0,49.0,24.0,49.0,14.0,44.0,29.0,20.0,17.0,40.0,5.0,49.0,16.0,12.0,40.0,15.0,32.0,45.0,38.0,59.0,50.0,44.0,42.0,48.0,41.0,58.0,52.0,40.0,39.0,40.0,28.0,49.0,45.0,59.0,,,,
P576,46.737864077669904,16.151222357097396,76.0,78.0,75.0,70.0,65.0,68.0,74.0,60.0,68.0,53.0,72.0,60.0,71.0,68.0,78.0,73.0,65.0,75.0,32.0,38.0,42.0,26.0,54.0,38.0,16.0,40.0,56.0,28.0,32.0,24.0,52.0,42.0,34.0,35.0,20.0,55.0,43.0,52.0,33.0,48.0,45.0,35.0,25.0,20.0,64.0,47.0,47.0,36.0,36.0,49.0,25.0,54.0,57.0,34.0,42.0,47.0,40.0,20.0,36.0,15.0,25.0,54.0,15.0,32.0,44.0,34.0,54.0,15.0,54.0,53.0,50.0,10.0,45.0,51.0,37.0,56.0,65.0,32.0,40.0,48.0,53.0,43.0,62.0,37.0,45.0,27.0,58.0,47.0,44.0,42.0,54.0,62.0,54.0,34.0,65.0,64.0,42.0,45.0,60.0,55.0,54.0,45.0,45.0,,,,,,
P580,47.0,16.51712850287793,81.0,70.0,61.0,68.0,63.0,62.0,68.0,73.0,58.0,58.0,59.0,66.0,64.0,56.0,64.0,61.0,58.0,67.0,57.0,52.0,66.0,58.0,56.0,69.0,48.0,58.0,55.0,63.0,50.0,43.0,40.0,47.0,50.0,46.0,39.0,53.0,10.0,30.0,48.0,15.0,42.0,25.0,47.0,37.0,49.0,30.0,43.0,30.0,5.0,39.0,47.0,25.0,33.0,25.0,6.0,20.0,68.0,25.0,43.0,57.0,20.0,35.0,10.0,66.0,51.0,30.0,32.0,50.0,45.0,43.0,15.0,62.0,47.0,15.0,36.0,38.0,25.0,53.0,48.0,33.0,40.0,40.0,32.0,25.0,53.0,63.0,50.0,42.0,55.0,54.0,59.0,52.0,53.0,30.0,65.0,58.0,63.0,50.0,53.0,74.0,58.0,61.0,53.0,45.0,,,,,
P587,55.37864077669903,19.715185997568298,90.0,78.0,83.0,80.0,76.0,66.0,74.0,82.0,73.0,70.0,82.0,77.0,88.0,68.0,79.0,82.0,79.0,82.0,68.0,72.0,40.0,45.0,30.0,40.0,72.0,25.0,55.0,70.0,35.0,40.0,38.0,43.0,38.0,77.0,47.0,40.0,48.0,82.0,74.0,30.0,72.0,48.0,40.0,28.0,60.0,42.0,46.0,70.0,45.0,44.0,54.0,20.0,43.0,38.0,28.0,56.0,65.0,40.0,46.0,24.0,70.0,50.0,44.0,10.0,55.0,12.0,10.0,50.0,35.0,30.0,65.0,58.0,53.0,35.0,53.0,42.0,54.0,68.0,40.0,36.0,38.0,48.0,67.0,80.0,50.0,56.0,81.0,30.0,74.0,55.0,78.0,76.0,60.0,10.0,70.0,62.0,75.0,58.0,85.0,60.0,64.0,70.0,60.0,,,,,,
P592,47.699029126213595,16.476266324302344,70.0,78.0,72.0,73.0,64.0,64.0,55.0,65.0,61.0,63.0,62.0,77.0,73.0,62.0,65.0,59.0,76.0,74.0,55.0,41.0,35.0,42.0,28.0,29.0,17.0,58.0,48.0,47.0,44.0,45.0,56.0,43.0,55.0,24.0,44.0,43.0,49.0,43.0,14.0,16.0,58.0,15.0,46.0,50.0,19.0,46.0,42.0,44.0,57.0,33.0,27.0,47.0,28.0,38.0,41.0,59.0,53.0,26.0,53.0,50.0,59.0,44.0,21.0,52.0,36.0,28.0,45.0,61.0,40.0,1.0,38.0,53.0,57.0,26.0,51.0,59.0,17.0,41.0,52.0,26.0,14.0,10.0,37.0,49.0,49.0,60.0,52.0,71.0,51.0,57.0,53.0,67.0,63.0,59.0,56.0,62.0,50.0,56.0,58.0,49.0,54.0,53.0,55.0,,,,,,
P601,41.76699029126213,14.02113522542696,73.0,70.0,55.0,65.0,55.0,65.0,60.0,61.0,51.0,51.0,61.0,52.0,60.0,54.0,43.0,49.0,43.0,35.0,53.0,39.0,42.0,36.0,20.0,55.0,30.0,32.0,10.0,58.0,33.0,35.0,34.0,43.0,48.0,35.0,27.0,40.0,52.0,33.0,46.0,53.0,45.0,43.0,38.0,20.0,40.0,22.0,42.0,38.0,44.0,47.0,30.0,35.0,27.0,19.0,45.0,34.0,45.0,57.0,48.0,48.0,55.0,18.0,30.0,39.0,41.0,17.0,20.0,30.0,43.0,53.0,20.0,19.0,18.0,31.0,20.0,62.0,38.0,46.0,39.0,64.0,39.0,40.0,32.0,45.0,18.0,20.0,58.0,10.0,29.0,26.0,51.0,44.0,53.0,48.0,52.0,39.0,48.0,55.0,53.0,60.0,48.0,55.0,52.0,,,,,,
P615,46.88461538461539,19.92086659922773,76.0,73.0,71.0,75.0,80.0,69.0,49.0,75.0,69.0,81.0,67.0,58.0,62.0,66.0,58.0,58.0,77.0,59.0,59.0,77.0,71.0,56.0,42.0,48.0,46.0,68.0,30.0,8.0,14.0,32.0,52.0,40.0,39.0,6.0,30.0,64.0,41.0,38.0,31.0,38.0,32.0,18.0,57.0,40.0,47.0,67.0,36.0,42.0,50.0,36.0,0.0,56.0,59.0,42.0,28.0,56.0,40.0,16.0,44.0,48.0,45.0,8.0,44.0,11.0,56.0,28.0,34.0,22.0,56.0,10.0,0.0,40.0,40.0,45.0,59.0,38.0,62.0,46.0,0.0,58.0,59.0,26.0,30.0,20.0,42.0,20.0,44.0,59.0,52.0,56.0,64.0,44.0,73.0,53.0,73.0,64.0,76.0,69.0,54.0,59.0,58.0,56.0,26.0,30.0,,,,,
P625,66.1826923076923,17.265918178457323,83.0,75.0,81.0,88.0,85.0,79.0,78.0,78.0,83.0,73.0,83.0,83.0,78.0,84.0,85.0,83.0,79.0,78.0,78.0,79.0,65.0,73.0,55.0,50.0,60.0,70.0,73.0,75.0,50.0,65.0,60.0,50.0,60.0,50.0,76.0,79.0,68.0,78.0,5.0,47.0,78.0,70.0,72.0,30.0,50.0,79.0,35.0,50.0,10.0,40.0,76.0,55.0,60.0,45.0,60.0,78.0,45.0,71.0,55.0,65.0,73.0,50.0,60.0,55.0,82.0,76.0,68.0,10.0,65.0,78.0,40.0,70.0,50.0,55.0,40.0,55.0,60.0,80.0,20.0,63.0,65.0,60.0,78.0,45.0,73.0,78.0,68.0,81.0,79.0,83.0,82.0,78.0,75.0,79.0,77.0,70.0,85.0,79.0,79.0,79.0,78.0,68.0,78.0,70.0,,,,,
P632,63.16346153846154,21.480680223234906,84.0,76.0,88.0,70.0,83.0,85.0,85.0,77.0,86.0,85.0,87.0,73.0,87.0,87.0,84.0,80.0,87.0,83.0,74.0,82.0,82.0,56.0,38.0,65.0,67.0,71.0,71.0,50.0,62.0,36.0,70.0,25.0,50.0,45.0,64.0,50.0,45.0,32.0,82.0,81.0,20.0,63.0,65.0,75.0,79.0,30.0,78.0,74.0,45.0,73.0,30.0,31.0,28.0,55.0,80.0,30.0,72.0,54.0,73.0,33.0,20.0,78.0,40.0,75.0,46.0,76.0,62.0,74.0,74.0,64.0,20.0,77.0,61.0,48.0,63.0,10.0,30.0,45.0,78.0,67.0,50.0,25.0,76.0,30.0,60.0,76.0,77.0,65.0,86.0,84.0,64.0,77.0,78.0,85.0,81.0,72.0,87.0,72.0,85.0,76.0,74.0,88.0,10.0,10.0,,,,,
P635,34.53846153846154,14.51809923430568,67.0,62.0,52.0,48.0,66.0,63.0,49.0,66.0,41.0,34.0,28.0,46.0,63.0,42.0,26.0,37.0,27.0,42.0,30.0,50.0,34.0,24.0,15.0,33.0,15.0,32.0,30.0,15.0,6.0,39.0,30.0,28.0,38.0,41.0,36.0,39.0,10.0,48.0,23.0,50.0,33.0,29.0,39.0,38.0,5.0,18.0,8.0,35.0,40.0,42.0,31.0,10.0,18.0,29.0,42.0,49.0,35.0,25.0,33.0,26.0,46.0,7.0,35.0,17.0,39.0,8.0,25.0,33.0,32.0,30.0,52.0,36.0,29.0,31.0,8.0,14.0,37.0,18.0,33.0,25.0,30.0,25.0,37.0,30.0,45.0,33.0,5.0,27.0,51.0,32.0,58.0,44.0,22.0,57.0,35.0,47.0,56.0,54.0,34.0,41.0,29.0,45.0,51.0,39.0,,,,,
P654,48.24271844660194,16.665960388614046,75.0,76.0,70.0,75.0,60.0,70.0,56.0,66.0,62.0,83.0,54.0,81.0,80.0,60.0,71.0,61.0,76.0,62.0,62.0,67.0,59.0,20.0,25.0,45.0,25.0,28.0,69.0,48.0,23.0,43.0,59.0,25.0,28.0,41.0,25.0,47.0,49.0,35.0,26.0,36.0,20.0,38.0,45.0,20.0,32.0,46.0,40.0,20.0,50.0,59.0,42.0,35.0,44.0,50.0,37.0,26.0,32.0,30.0,30.0,30.0,54.0,42.0,49.0,20.0,49.0,51.0,42.0,51.0,54.0,46.0,46.0,28.0,41.0,53.0,74.0,50.0,41.0,42.0,26.0,20.0,52.0,49.0,51.0,33.0,50.0,20.0,71.0,41.0,35.0,56.0,68.0,66.0,60.0,57.0,53.0,50.0,71.0,57.0,60.0,57.0,62.0,53.0,69.0,,,,,,
P658,45.51456310679612,21.41140619502674,83.0,82.0,73.0,83.0,72.0,72.0,69.0,76.0,66.0,61.0,70.0,79.0,67.0,62.0,66.0,74.0,5.0,28.0,20.0,18.0,58.0,20.0,5.0,15.0,35.0,28.0,27.0,20.0,36.0,20.0,39.0,30.0,56.0,42.0,5.0,42.0,46.0,42.0,54.0,30.0,57.0,10.0,15.0,38.0,38.0,55.0,0.0,32.0,48.0,45.0,5.0,58.0,46.0,12.0,59.0,30.0,51.0,35.0,48.0,45.0,54.0,39.0,30.0,42.0,43.0,3.0,6.0,45.0,5.0,45.0,38.0,36.0,15.0,53.0,23.0,63.0,58.0,70.0,10.0,62.0,48.0,52.0,60.0,52.0,59.0,67.0,71.0,57.0,60.0,46.0,51.0,73.0,45.0,59.0,59.0,74.0,50.0,56.0,66.0,63.0,67.0,61.0,49.0,,,,,,
P672,46.14423076923077,18.615902101510542,70.0,64.0,58.0,60.0,80.0,67.0,60.0,57.0,72.0,64.0,65.0,61.0,65.0,72.0,65.0,75.0,62.0,55.0,50.0,5.0,28.0,15.0,50.0,40.0,58.0,24.0,50.0,28.0,50.0,5.0,37.0,25.0,15.0,27.0,43.0,40.0,28.0,25.0,45.0,0.0,38.0,35.0,40.0,45.0,10.0,42.0,64.0,25.0,55.0,50.0,20.0,30.0,60.0,30.0,60.0,57.0,50.0,40.0,18.0,45.0,60.0,25.0,45.0,65.0,49.0,52.0,45.0,52.0,25.0,15.0,18.0,52.0,5.0,51.0,48.0,43.0,65.0,15.0,10.0,35.0,50.0,30.0,57.0,57.0,55.0,45.0,60.0,53.0,57.0,55.0,47.0,68.0,48.0,50.0,55.0,60.0,52.0,66.0,61.0,90.0,67.0,62.0,55.0,50.0,,,,,
P676,65.67619047619047,17.950517047457495,85.0,85.0,84.0,83.0,88.0,82.0,76.0,75.0,80.0,68.0,86.0,74.0,87.0,79.0,79.0,81.0,80.0,70.0,86.0,74.0,74.0,68.0,77.0,89.0,60.0,10.0,70.0,50.0,50.0,60.0,66.0,45.0,90.0,50.0,70.0,80.0,74.0,67.0,72.0,60.0,81.0,69.0,20.0,62.0,40.0,69.0,71.0,62.0,75.0,61.0,78.0,76.0,70.0,66.0,65.0,69.0,78.0,35.0,78.0,76.0,20.0,10.0,60.0,55.0,66.0,62.0,77.0,65.0,77.0,50.0,60.0,64.0,54.0,35.0,82.0,55.0,55.0,30.0,78.0,71.0,50.0,40.0,55.0,68.0,50.0,20.0,61.0,67.0,73.0,30.0,55.0,66.0,20.0,78.0,71.0,68.0,73.0,83.0,75.0,86.0,80.0,79.0,83.0,83.0,71.0,,,,
P704,55.01923076923077,17.864637070340006,85.0,66.0,75.0,72.0,80.0,80.0,73.0,74.0,67.0,80.0,70.0,80.0,75.0,11.0,78.0,65.0,52.0,25.0,65.0,72.0,53.0,15.0,59.0,5.0,57.0,0.0,52.0,26.0,49.0,42.0,73.0,47.0,66.0,27.0,59.0,48.0,38.0,26.0,56.0,48.0,63.0,58.0,23.0,51.0,58.0,72.0,70.0,35.0,58.0,63.0,48.0,49.0,20.0,45.0,20.0,53.0,56.0,63.0,40.0,49.0,36.0,63.0,64.0,38.0,55.0,36.0,43.0,71.0,57.0,30.0,66.0,57.0,54.0,58.0,58.0,58.0,70.0,72.0,37.0,72.0,35.0,57.0,72.0,63.0,50.0,58.0,49.0,70.0,69.0,66.0,56.0,67.0,72.0,78.0,52.0,31.0,72.0,51.0,65.0,72.0,63.0,73.0,54.0,47.0,,,,,
P732,59.15238095238095,18.06653352748207,92.0,80.0,86.0,77.0,79.0,73.0,76.0,86.0,69.0,80.0,66.0,71.0,88.0,69.0,73.0,84.0,80.0,59.0,52.0,75.0,69.0,32.0,90.0,76.0,65.0,25.0,51.0,37.0,45.0,39.0,22.0,11.0,60.0,31.0,40.0,71.0,78.0,54.0,39.0,52.0,35.0,51.0,66.0,37.0,45.0,48.0,38.0,56.0,64.0,61.0,38.0,49.0,33.0,60.0,76.0,55.0,64.0,64.0,69.0,60.0,39.0,26.0,37.0,53.0,66.0,73.0,22.0,28.0,61.0,60.0,42.0,32.0,68.0,37.0,65.0,63.0,57.0,75.0,46.0,30.0,56.0,42.0,58.0,36.0,63.0,41.0,69.0,81.0,72.0,82.0,60.0,80.0,78.0,72.0,66.0,69.0,66.0,69.0,72.0,63.0,79.0,66.0,84.0,65.0,71.0,,,,
P753,71.51923076923077,10.382940423103836,82.0,80.0,80.0,80.0,74.0,78.0,81.0,84.0,64.0,77.0,77.0,76.0,86.0,92.0,65.0,72.0,79.0,66.0,57.0,30.0,68.0,65.0,76.0,60.0,73.0,66.0,51.0,68.0,70.0,77.0,76.0,63.0,60.0,72.0,75.0,80.0,57.0,74.0,67.0,77.0,86.0,57.0,72.0,60.0,72.0,75.0,65.0,37.0,76.0,69.0,66.0,76.0,65.0,75.0,70.0,69.0,62.0,77.0,63.0,56.0,75.0,70.0,72.0,62.0,76.0,51.0,70.0,60.0,75.0,74.0,78.0,81.0,77.0,73.0,67.0,76.0,74.0,73.0,81.0,79.0,79.0,80.0,86.0,67.0,75.0,79.0,76.0,78.0,75.0,79.0,71.0,74.0,70.0,82.0,72.0,76.0,70.0,72.0,84.0,77.0,76.0,74.0,89.0,30.0,,,,,
P756,53.70192307692308,16.822245909239307,78.0,88.0,70.0,66.0,78.0,82.0,72.0,65.0,66.0,70.0,62.0,80.0,78.0,78.0,65.0,50.0,50.0,45.0,58.0,15.0,50.0,67.0,57.0,55.0,35.0,50.0,60.0,54.0,51.0,42.0,52.0,43.0,55.0,60.0,40.0,62.0,63.0,45.0,45.0,30.0,63.0,52.0,35.0,50.0,52.0,62.0,8.0,51.0,53.0,47.0,64.0,48.0,30.0,65.0,78.0,43.0,50.0,40.0,50.0,40.0,35.0,66.0,56.0,34.0,50.0,20.0,66.0,60.0,63.0,48.0,15.0,30.0,36.0,60.0,56.0,58.0,70.0,30.0,55.0,0.0,60.0,63.0,58.0,50.0,61.0,0.0,45.0,39.0,40.0,75.0,75.0,45.0,53.0,68.0,67.0,52.0,69.0,67.0,70.0,60.0,62.0,60.0,60.0,65.0,,,,,
P758,63.18269230769231,16.222221618338946,86.0,79.0,72.0,80.0,85.0,85.0,80.0,82.0,87.0,92.0,90.0,86.0,31.0,83.0,72.0,78.0,56.0,58.0,32.0,58.0,30.0,57.0,33.0,39.0,47.0,51.0,50.0,50.0,69.0,78.0,37.0,60.0,80.0,86.0,54.0,50.0,33.0,60.0,59.0,73.0,47.0,77.0,74.0,54.0,50.0,77.0,40.0,72.0,71.0,53.0,74.0,46.0,38.0,53.0,41.0,33.0,44.0,62.0,66.0,49.0,70.0,48.0,64.0,69.0,46.0,54.0,44.0,73.0,69.0,82.0,71.0,50.0,59.0,57.0,69.0,52.0,74.0,78.0,41.0,45.0,65.0,39.0,53.0,67.0,58.0,72.0,83.0,77.0,50.0,71.0,68.0,80.0,77.0,52.0,71.0,67.0,78.0,84.0,86.0,87.0,77.0,62.0,68.0,75.0,,,,,
P767,45.15384615384615,19.630949030058677,72.0,69.0,74.0,82.0,70.0,69.0,70.0,60.0,68.0,84.0,63.0,68.0,55.0,81.0,68.0,60.0,27.0,47.0,62.0,42.0,34.0,78.0,32.0,30.0,52.0,17.0,13.0,28.0,46.0,41.0,16.0,31.0,10.0,45.0,54.0,45.0,32.0,43.0,45.0,46.0,22.0,43.0,51.0,56.0,60.0,47.0,37.0,34.0,69.0,23.0,51.0,64.0,38.0,45.0,51.0,4.0,35.0,17.0,4.0,50.0,57.0,46.0,56.0,11.0,48.0,37.0,8.0,49.0,53.0,47.0,6.0,26.0,36.0,34.0,48.0,14.0,46.0,40.0,57.0,34.0,23.0,21.0,42.0,43.0,66.0,26.0,15.0,28.0,3.0,25.0,32.0,51.0,68.0,61.0,52.0,56.0,61.0,62.0,60.0,70.0,60.0,63.0,60.0,65.0,,,,,
